c_category,c_func,c_name,c_data_type,c_value_type,c_choice,c_database,c_unit,remark,c_module,c_range,c_address
SysElecConsumP,6001304,系统耗电功率,Num,,,,kW,,,,
WTFac,6001305,系统输配系数,Num,,,,,,,,
UVIntensity,6001306,紫外线强度,Inst,2,,,W/m2,,,,
UltravioletRadiation,6001307,紫外辐射,Inst,2,,,W/m2,,,,
AccOneDayPhotosyntheticEffectiveRadiation,6001308,累计一天光合有效辐射量,Acc,,,,MJ/m2,,,,
AccOneDayNetRadiation,6001309,累计一天净辐射量,Acc,,,,MJ/m2,,,,
AccOneDayReflectedRadiation,6001310,累计一天反射辐射量,Acc,,,,MJ/m2,,,,
AccOneDayTotalRadiation,6001311,累计一天总辐射量,Acc,,,,MJ/m2,,,,
AccOneDayScatteringRadiation,6001312,累计一天散射辐射量,Acc,,,,MJ/m2,,,,
AccOneDayDirectRadiation,6001313,累计一天直接辐射量,Acc,,,,MJ/m2,,,,
AccOneDayUltravioletRadiation,6001314,累计一天紫外辐射量,Acc,,,,MJ/m2,,,,
AccOneDayLong-waveRadiation,6001315,累计一天长波辐射量,Acc,,,,MJ/m2,,,,
AccUploadData,6001316,累计上传数据量,Acc,,,,GB,,,,
AccUploadDataTraffic,6001317,累计上传流量,Acc,,,,MB,,,,
AccDownloadData,6001318,累计下载数据量,Acc,,,,GB,,,,
AccDownloadDataTraffic,6001319,累计下载流量,Acc,,,,MB,,,,
AccReclaimedWaterConsumVolume,6001320,累计使用中水量,Num,,,,m3,,,,
AccDrinkWaterConsumVolume,6001321,累计使用直饮水量,Num,,,,m3,,,,
AccCoolSup,6001322,累计供冷量,Acc,1,,,kWh,,,,
AccSupplyGasVolume,6001323,累计供气量,Acc,,,,m3,,,,
AccSupplyVolume,6001324,累计供水量,Acc,,,,m3,,,,
AccHeatSup,6001325,累计供热量,Acc,,,,kWh,,,,
AccEVElecConsum,6001326,累计充电量,Num,,,,kWh,,,,
AccChillWater,6001327,累计冷水流量,Acc,,,,m3,,,,
AccDrinkWaterTreatVolume,6001328,累计净化直饮水量,Num,,,,m3,,,,
AccPurifyAir,6001329,累计净化空气量,Acc,,,,m3,,,,
AccOutVolume,6001330,累计出水量,Acc,,,,m3,,,,
AccCool,6001331,累计制冷量,Acc,,,,kWh,,,,
AccHeat,6001332,累计制热量,Acc,,,,kWh,,,,
AccGasRemain,6001333,累计剩余气量,Acc,,,,kg,,,,
AccD,6001334,累计加湿量,Acc,,,,kg,,,,
RAccHeat,6001335,累计加热量,Acc,,,,kWh,,,,
AccCompressAir,6001336,累计压缩空气量,Acc,,,,kg,,,,
AccOutE,6001337,累计发电量,Acc,1,,,kWh,,,,
AccAbsorbSolarE,6001338,累计吸收太阳能,Num,,,,kWh,,,,
AccSprayWater,6001339,累计喷水量,Acc,,,,m3,,,,
AccSprayGasVolume,6001340,累计喷洒气体量,Acc,,,,m3,,,,
AccSprayWaterVolume,6001341,累计喷灌水量,Num,,,,m3,,,,
AccReclaimedWaterTreatVolume,6001342,累计处理中水量,Acc,,,,m3,,,,
AccWaterVolume,6001343,累计处理水量,Acc,,,,m3,,,,
AccProcWind,6001344,累计处理风量,Acc,,,,m3,,,,
AccParkingCarNum,6001345,累计存车数量,Acc,,,,辆,,,,
AccOpenime,6001346,累计开启时间,Acc,,,,h,,,,
AccCycleWaterVolume,6001347,累计循环水量,Acc,,,,m3,,,,
AccRemoveOil,6001348,累计截油量,Acc,,,,kg,,,,
AccSewageConsum,6001349,累计排污量,Acc,,,,m3,,,,
AccTreatWaterVolume,6001350,累计提升水量,Acc,,,,m3,,,,
AccCoolRelease,6001351,累计放冷量,Acc,,,,kWh,,,,
AccHeatRelease,6001352,累计放热量,Acc,,,,kWh,,,,
AccHeatDisspation,6001353,累计散热量,Acc,,,,kWh,,,,
AccFreshAir,6001354,累计新风量,Acc,,,,m3,,,,
AccReactiveE,6001355,累计无功电能,Acc,,,,kVarh,,,,
AccActiveE,6001356,累计有功电能,Acc,,,,kWh,,,,
AccWater,6001357,累计水流量,Acc,,,,m3,,,,
AccWasteWaterTreatVolume,6001358,累计污水处理量,Num,,,,m3,,,,
AccFlow,6001359,累计流量,Acc,,,,m3,,,,
AccCookingTime,6001361,累计炊事时间,Acc,,,,h,,,,
AccHotWater,6001362,累计热水流量,Acc,,,,m3,,,,
HeatAccHeat,6001363,累计热量测量值,Num,1,,,GJ,,,,
AccGasConsumBurn,6001364,累计燃气量,Acc,,,,m3,,,,
AccFuelConsum,6001365,累计燃油量,Acc,,,,L,,,,
AccCoalBurn,6001366,累计燃煤量,Acc,1,,,kg,,,,
AccDWSupplyVolume,6001367,累计生活用水供水量,Num,,,,m3,,,,
AccGasConsumVolume,6001368,累计用气量,Acc,,,,kg,,,,
AccDW,6001369,累计用水量,Inst,2,,,m3,,,,
AccHotWaterConsumHeat,6001370,累计用热水热量,Num,,,,kWh,,,,
AccHotWaterConsumVolume,6001371,累计用热水量,Num,,,,m3,,,,
AccE,6001372,累计用电电能,Num,,,,kWh,,,,
AccCharge,6001373,累计用电费用,Num,,,,元,,,,
ElecAccConsum,6001374,累计电量测量值,Num,,,,kWh,,,,
AccSysElecConsum,6001375,累计系统耗电量,Num,,,,kWh,,,,
AccGasConsum,6001376,累计耗气量,Num,,,,m3,,,,
AccDieselConsum,6001377,累计耗油量,Acc,,,,L,,,,
AccHeatConsum,6001378,累计耗热量,Num,,,,kWh,,,,
AccCoalConsum,6001379,累计耗煤量,Num,,,,t,,,,
AccElecConsumP,6001380,累计耗电功率,Acc,,,,kWh,,,,
AccElecConsum,6001381,累计耗电量,Acc,,,,kWh,,,,
AccO3Capacity,6001382,累计臭氧产量,Acc,,,,g,,,,
AccCoolStore,6001383,累计蓄冷量,Acc,,,,kWh,,,,
AccHeatStore,6001384,累计蓄热量,Acc,,,,kWh,,,,
AccFilling,6001385,累计补水量,Acc,,,,m3,,,,
AccApprE,6001386,累计视在电能,Acc,,,,kVAh,,,,
AccElecOutConsum,6001387,累计输出电量,Acc,,,,kWh,,,,
AccTreatVolume,6001388,累计输送介质量,Acc,,,,m3,,,,
AccRunTime,6001389,累计运行时间,Acc,,,,h,,,,
AccPassengerNum,6001390,累计运送人次,Acc,,,,人次,,,,
AccCarTime,6001391,累计进出车次,Acc,,,,车次,,,,
AccSupplyAir,6001392,累计送风量,Acc,,,,m3,,,,
AccPassPersonNum,6001393,累计通过人数,Acc,,,,人次,,,,
AccPassPersonTime,6001394,累计通过人次,Num,,,,人次,,,,
AccAirVolume,6001395,累计通过风量,Acc,,,,m3,,,,
AccVent,6001396,累计通风量,Num,,,,m3,,,,
ElecAccCost,6001397,累计金额测量值,Num,,,,元,,,,
